都道府県,2020/03/30,2020/04/06,Td
山形県,0.286,7.286,1.498
富山県,1.000,9.143,2.193
福島県,2.571,13.286,2.955
宮城県,3.714,18.286,3.044
佐賀県,1.286,6.286,3.057
長崎県,1.571,7.429,3.124
福井県,10.429,43.143,3.417
鹿児島県,0.714,2.857,3.500
福岡県,22.857,86.429,3.648
石川県,9.143,32.286,3.846
茨城県,15.429,53.571,3.898
岡山県,2.714,9.143,3.995
愛媛県,4.714,13.143,4.732
奈良県,8.429,22.571,4.926
広島県,4.571,12.000,5.028
徳島県,1.143,3.000,5.028
秋田県,3.571,9.286,5.078
東京都,357.143,903.571,5.227
山梨県,4.714,11.857,5.261
滋賀県,6.000,14.429,5.530
岐阜県,17.286,39.714,5.833
京都府,44.571,102.143,5.851
静岡県,4.143,8.571,6.674
神奈川県,100.143,205.000,6.773
埼玉県,75.714,153.714,6.852
大阪府,187.286,378.000,6.909
全国,1605.286,3206.714,7.012
千葉県,110.857,220.286,7.066
高知県,13.714,26.714,7.277
沖縄県,6.714,12.429,7.880
長野県,6.143,11.286,7.977
青森県,5.857,10.286,8.617
熊本県,10.000,17.429,8.734
山口県,4.857,8.429,8.803
宮崎県,3.000,4.857,10.070
兵庫県,117.000,184.857,10.608
香川県,1.286,2.000,10.982
群馬県,15.857,24.286,11.383
三重県,8.571,12.286,13.478
和歌山県,16.143,22.857,13.951
栃木県,10.571,14.143,16.671
愛知県,160.571,214.714,16.698
大分県,23.143,30.857,16.866
新潟県,28.000,32.000,36.336
北海道,171.857,190.857,46.271
