福井県,Td
2020/04/01,3.300
2020/04/02,3.417
2020/04/03,3.655
2020/04/04,4.099
2020/04/05,4.687
2020/04/06,5.174
2020/04/07,5.812
2020/04/08,6.640
2020/04/09,7.494
2020/04/10,8.601
2020/04/11,9.994
2020/04/12,11.011
2020/04/13,12.982
2020/04/14,14.592
2020/04/15,16.446
2020/04/16,18.135
2020/04/17,20.601
2020/04/18,22.809
2020/04/19,25.562
2020/04/20,26.541
2020/04/21,30.480
2020/04/22,34.776
2020/04/23,44.433
2020/04/24,53.701
2020/04/25,66.120
2020/04/26,87.209
2020/04/27,126.744
2020/04/28,170.012
2020/04/29,241.309
2020/04/30,316.309
2020/05/01,457.973
2020/05/02,688.177
2020/05/03,1033.481
2020/05/04,2069.390
2020/05/05,4141.207
2020/05/06,1000
2020/05/07,1000
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,1000
2020/06/28,1000
2020/06/29,1000
2020/06/30,1000
2020/07/01,1000
2020/07/02,1000
2020/07/03,1000
2020/07/04,1000
2020/07/05,1000
2020/07/06,1000
2020/07/07,4146.059
2020/07/08,1383.636
2020/07/09,831.150
2020/07/10,520.376
2020/07/11,379.115
2020/07/12,278.661
2020/07/13,220.503
2020/07/14,199.963
2020/07/15,200.425
2020/07/16,200.887
2020/07/17,211.539
2020/07/18,223.312
2020/07/19,236.663
2020/07/21,251.584
2020/07/22,252.441
2020/07/23,179.919
2020/07/24,131.799
2020/07/25,101.930
2020/07/26,83.331
2020/07/28,72.952
2020/07/29,63.216
2020/07/30,53.971
2020/07/31,51.562
2020/08/01,50.020
2020/08/02,49.137
2020/08/03,48.308
2020/08/04,47.480
2020/08/05,48.552
2020/08/06,52.819
2020/08/07,58.962
2020/08/08,70.192
2020/08/11,87.816
2020/08/12,116.652
2020/08/13,166.757
2020/08/14,260.061
2020/08/15,402.154
2020/08/16,524.501
2020/08/17,351.120
2020/08/18,240.388
2020/08/19,177.088
2020/08/20,140.440
2020/08/21,91.386
2020/08/22,60.191
2020/08/23,40.286
2020/08/24,31.503
2020/08/25,26.415
2020/08/26,21.779
2020/08/27,18.479
2020/08/28,17.154
2020/08/29,16.929
2020/08/30,18.168
2020/08/31,19.655
2020/09/01,21.158
2020/09/02,25.396
2020/09/03,32.279
2020/09/04,42.087
2020/09/06,57.819
2020/09/07,76.336
2020/09/08,109.415
2020/09/09,190.178
2020/09/10,283.335
2020/09/11,485.056
2020/09/13,918.379
2020/09/15,1378.784
2020/09/17,2759.996
2020/09/18,4141.207
2020/09/19,8284.841
2020/09/22,1000
2020/09/23,1000
2020/09/24,1000
2020/09/25,1000
2020/09/26,1000
2020/09/28,1000
2020/09/29,1000
2020/10/01,4146.059
2020/10/02,1659.878
2020/10/03,831.150
2020/10/04,554.907
2020/10/05,416.785
2020/10/06,333.911
2020/10/07,239.197
2020/10/08,195.369
2020/10/09,172.038
2020/10/12,165.861
2020/10/14,160.151
2020/10/15,154.855
2020/10/17,149.932
2020/10/18,175.008
2020/10/20,215.057
2020/10/22,269.584
2020/10/23,332.545
2020/10/25,433.282
2020/10/27,579.167
2020/10/29,791.981
2020/10/30,582.079
2020/11/05,350.408
2020/11/06,73.748
